Number,SMILES,IC50 NDM (uM),,,,
816,OC(C1=CC=CC2=C1OB(O)[C@@H](NC(C[C@H]3CC[C@H](NCCN)CC3)=O)C2)=O,0.01,,,,
918,OC([C@H](N)CN[C@@H](C(O)=O)CN[C@H](C(O)=O)CC(O)=O)=O,0.011,,,,
15,O=C(O)C1=NC(CN(CCN(CC2=NC(C(O)=O)=CC=C2)CC3=CC=C(OC)C=C3)CC4=CC=C(OC)C=C4)=CC=C1,0.04,,,,
737,N1CCNCCNCC1,0.044,,,,
793,OC(C1=CC=CC(P(O)(O)=O)=N1)=O,0.064,,,,
794,OC(C1=CC=CC(CP(O)(O)=O)=N1)=O,0.068,,,,
362,O=C(NC1=CC=C(CCCC)C=C1)CSC2=NN=C(C3=CC=CC=C3)N2,0.15,,,,
40,O=C1N(C2=CC=CC=C2)SC3=CC=CC=C31,0.16,,,,
355,O=C(NC1=CC=CC=C1C)CSC2=NN=C(C3=CC=CC=C3O)N2,0.16,,,,
363,O=C(NC1=CC=C(CCCC)C=C1)CSC2=NN=C(C3=CC=CC=C3O)N2,0.16,,,,
365,O=C(NC1=CC=C(CCCC)C=C1)CSC2=NN=C(C3=CC=CC=C3N)N2,0.16,,,,
371,O=C(NC1=CC=CC(Cl)=C1)CSC2=NN=C(C3=CC=CC=C3O)N2,0.16,,,,
2,OC1=C(C2=NN=C(SCC(NC3=CC(Cl)=CC=C3)=O)N2)C=CC=C1,0.17,,,,
14,O=C(O)C1=NC(CNCCNCC2=CC=CC(C(O)=O)=N2)=CC=C1,0.17,,,,
216,O=C(CSC1=NN=C(C2=C(N)C=CC=C2)N1)NC3=NC4=CC([N+]([O-])=O)=CC=C4O3,0.17,,,,
350,O=C(NC1=CC=CC=C1)CSC2=NN=C(C3=CC=CC=C3)N2,0.17,,,,
787,OC(C[C@@H](C(O)=O)NCCN[C@H](C(O)=O)CC(O)=O)=O,0.18,,,,
354,O=C(NC1=CC=CC=C1C)CSC2=NN=C(C3=CC=CC=C3)N2,0.19,,,,
48,O=C1N(CCN2C(C3=CC=CC=C3S2)=O)SC4=CC=CC=C41,0.2,,,,
804,OC(C1=CC(C2=CC=C(OC)C=C2)=CC(CP(O)(O)=O)=N1)=O,0.2,,,,
373,O=C(NC1=CC=CC(Cl)=C1)CSC2=NN=C(C3=CC=CC=C3N)N2,0.23,,,,
460,O=C(NC1=CC=CC=C1)CSC(O2)=NN=C2C3=CC=NC=C3,0.23,,,,
814,OC(C1=CC(C2=CC=CC=C2N)=CC(CP(O)(O)=O)=N1)=O,0.24,,,,
49,O=C1N(C(NCCC)=O)SC2=CC=CC=C21,0.26,,,,
809,OC(C1=CC(C2=CC=CC(O)=C2)=CC(CP(O)(O)=O)=N1)=O,0.28,,,,
